model,hashrate (GH/s),power (W),hashrate (GH/s)/power (W),price,price/hashrate(GH/s),x4 cost,x6 cost,x4 hashrate (GH/s),x6 hashrate (GH/s),Unnamed: 10,link
jasminer x16 p,5.8,1900,0.00305,4269,736.03,,,,,,https://asicmarketplace.com/product/jasminer-x16-p-etc-miner-8gb/
jasminer x4-q,1.04,370,0.00281,829,797.11,,,,,,https://asicmarketplace.com/product/jasminer-x4-q-etc-miner-5gb-1040mh/
